Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Green Bay,Horizon,18,5,0.783,,13,0,1.0,,67.5,58.5,,7.03,-2.07,,,,,,
2,Youngstown State,Horizon,16,7,0.696,,9,4,0.692,,63.8,60.2,,-2.45,-6.02,,,,,,
3,Purdue Fort Wayne,Horizon,15,8,0.652,,9,4,0.692,,70.0,64.7,,2.78,-2.54,,,,,,
4,Robert Morris,Horizon,15,7,0.682,,8,5,0.615,,64.5,62.0,,-5.36,-7.86,,,,,,
5,Cleveland State,Horizon,17,7,0.708,,7,6,0.538,,68.5,61.0,,-1.49,-9.03,,,,,,
6,Northern Kentucky,Horizon,10,14,0.417,,7,6,0.538,,67.8,70.9,,-2.71,0.37,,,,,,
7,Oakland,Horizon,8,14,0.364,,5,7,0.417,,61.8,73.2,,-9.51,1.92,,,,,,
8,IU Indy,Horizon,8,13,0.381,,4,8,0.333,,64.1,69.6,,-8.34,-2.87,,,,,,
9,Milwaukee,Horizon,8,16,0.333,,4,9,0.308,,59.8,68.1,,-13.47,-5.11,,,,,,
10,Wright State,Horizon,6,17,0.261,,2,10,0.167,,62.1,73.6,,-16.77,-5.29,,,,,,
11,Detroit Mercy,Horizon,4,18,0.182,,2,11,0.154,,61.1,72.4,,-14.44,-3.16,,,,,,
