Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Western Illinois,OVC,24,4,0.857,,16,3,0.842,,75.1,61.8,,5.9,-7.42,,,,,,
2,Lindenwood,OVC,23,7,0.767,,15,4,0.789,,72.7,62.6,,5.83,-4.24,,,,,,
3,Southern Indiana,OVC,19,9,0.679,,13,6,0.684,,67.1,61.3,,1.52,-4.24,,,,,,
4,Morehead State,OVC,18,13,0.581,,13,7,0.65,,63.8,66.0,,-5.09,-2.89,,,,,,
5,Little Rock,OVC,15,14,0.517,,11,8,0.579,,58.9,63.7,,-7.3,-2.49,,,,,,
6,Tennessee-Martin,OVC,13,15,0.464,,9,10,0.474,,60.6,64.9,,-7.71,-3.35,,,,,,
7,Tennessee Tech,OVC,15,13,0.536,,8,11,0.421,,64.4,64.0,,-4.9,-5.36,,,,,,
8,Southern Illinois-Edwardsville,OVC,14,15,0.483,,7,12,0.368,,60.2,63.2,,-8.72,-5.72,,,,,,
9,Southeast Missouri State,OVC,11,17,0.393,,7,12,0.368,,63.6,68.9,,-9.29,-3.95,,,,,,
10,Tennessee State,OVC,4,24,0.143,,3,16,0.158,,58.7,75.9,,-19.72,-2.47,,,,,,
11,Eastern Illinois,OVC,4,26,0.133,,3,16,0.158,,57.4,71.9,,-16.19,-1.62,,,,,,
