Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Austin Peay,A-Sun,7,2,0.778,,,,,,63.9,59.3,,1.49,-3.13,,,,,,
2,Jacksonville,A-Sun,7,3,0.7,,,,,,64.6,74.5,,-6.01,3.86,,,,,,
3,Stetson,A-Sun,7,3,0.7,,,,,,72.4,69.6,,-1.15,-3.9,,,,,,
4,Eastern Kentucky,A-Sun,8,4,0.667,,,,,,69.0,65.1,,-2.15,-6.05,,,,,,
5,West Georgia,A-Sun,6,4,0.6,,,,,,66.8,70.1,,-14.39,-11.06,,,,,,
6,Central Arkansas,A-Sun,7,5,0.583,,,,,,68.2,62.9,,1.73,-3.57,,,,,,
7,Queens (NC),A-Sun,6,5,0.545,,,,,,59.0,69.3,,-20.13,-9.8,,,,,,
8,North Alabama,A-Sun,5,6,0.455,,,,,,60.9,69.0,,-12.96,-4.85,,,,,,
9,North Florida,A-Sun,5,6,0.455,,,,,,56.3,74.8,,-18.2,0.25,,,,,,
10,Florida Gulf Coast,A-Sun,4,6,0.4,,,,,,57.9,73.1,,0.17,15.42,,,,,,
11,Lipscomb,A-Sun,3,8,0.273,,,,,,56.9,70.0,,-19.48,-6.37,,,,,,
12,Bellarmine,A-Sun,2,11,0.154,,,,,,53.3,83.3,,-24.24,5.76,,,,,,
