Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,San Diego State,MWC,24,4,0.857,,18,1,0.947,,69.4,60.2,,10.78,1.6,,,,,,
2,Boise State,MWC,23,7,0.767,,14,5,0.737,,71.3,64.3,,5.59,-1.37,,,,,,
3,Colorado State,MWC,23,7,0.767,,14,5,0.737,,66.3,55.8,,10.61,0.09,,,,,,
4,Nevada-Las Vegas,MWC,19,10,0.655,,14,5,0.737,,68.4,63.2,,7.88,2.67,,,,,,
5,New Mexico,MWC,21,9,0.7,,13,6,0.684,,67.0,60.6,,4.9,-1.5,,,,,,
6,Grand Canyon,MWC,12,17,0.414,,11,8,0.579,,64.9,65.2,,4.17,4.48,,,,,,
7,Fresno State,MWC,14,16,0.467,,8,11,0.421,,61.6,60.1,,0.42,-1.02,,,,,,
8,Air Force,MWC,13,16,0.448,,7,12,0.368,,59.3,62.4,,-4.88,-1.77,,,,,,
9,Wyoming,MWC,9,19,0.321,,6,13,0.316,,54.6,62.7,,-6.08,2.07,,,,,,
10,Nevada,MWC,9,20,0.31,,5,14,0.263,,56.1,61.4,,-4.49,0.79,,,,,,
11,Utah State,MWC,6,22,0.214,,2,17,0.105,,57.3,69.1,,-10.78,1.03,,,,,,
12,San Jose State,MWC,4,26,0.133,,2,17,0.105,,55.4,73.4,,-15.85,2.12,,,,,,
