Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Northwestern State,Southland,6,5,0.545,,3,0,1.0,,56.6,69.9,,-3.78,9.56,,,,,,
2,McNeese State,Southland,8,4,0.667,,2,1,0.667,,61.2,57.4,,6.75,2.95,,,,,,
3,Nicholls State,Southland,6,4,0.6,,2,1,0.667,,64.6,67.2,,-15.06,-12.39,,,,,,
4,Lamar,Southland,5,5,0.5,,2,1,0.667,,63.2,63.3,,-6.17,-6.06,,,,,,
5,Texas-Rio Grande Valley,Southland,5,7,0.417,,2,1,0.667,,63.7,79.5,,-10.04,5.76,,,,,,
6,Houston Christian,Southland,4,6,0.4,,2,1,0.667,,62.0,77.1,,-14.67,0.46,,,,,,
7,Incarnate Word,Southland,4,6,0.4,,2,1,0.667,,58.5,76.8,,-9.46,8.79,,,,,,
8,Stephen F. Austin,Southland,7,5,0.583,,1,2,0.333,,73.6,74.4,,-6.89,-6.09,,,,,,
9,East Texas A&M,Southland,5,5,0.5,,1,2,0.333,,63.5,75.4,,-11.12,0.76,,,,,,
10,Southeastern Louisiana,Southland,2,8,0.2,,1,2,0.333,,54.2,87.6,,-23.21,10.13,,,,,,
11,Texas A&M-Corpus Christi,Southland,1,9,0.1,,0,3,0.0,,53.2,76.9,,-23.39,0.28,,,,,,
12,New Orleans,Southland,0,11,0.0,,0,3,0.0,,64.1,90.6,,-21.6,4.9,,,,,,
