Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Vanderbilt,SEC,19,0,1.0,,5,0,1.0,,86.1,58.2,,33.86,5.96,,19.0,5.0,,,
2,South Carolina,SEC,19,1,0.95,,5,0,1.0,,88.7,53.9,,46.11,11.31,,2.0,2.0,,,
3,Tennessee,SEC,13,3,0.813,,5,0,1.0,,80.6,60.4,,31.8,11.61,,8.0,8.0,,,
4,Texas,SEC,19,2,0.905,,4,2,0.667,,88.8,53.0,,47.46,11.7,,4.0,2.0,,,
5,Kentucky,SEC,17,3,0.85,,4,2,0.667,,78.1,55.7,,31.0,8.65,,24.0,6.0,,,
6,Louisiana State,SEC,17,2,0.895,,3,2,0.6,,99.6,56.7,,47.35,4.51,,5.0,5.0,,,
7,Mississippi,SEC,16,4,0.8,,3,2,0.6,,78.1,56.4,,28.71,7.01,,12.0,12.0,,,
8,Alabama,SEC,17,3,0.85,,3,3,0.5,,71.8,54.2,,25.27,7.72,,,21.0,,,
9,Georgia,SEC,16,3,0.842,,2,3,0.4,,76.2,55.9,,23.14,2.82,,,,,,
10,Oklahoma,SEC,14,4,0.778,,2,3,0.4,,89.8,62.3,,36.44,8.99,,6.0,5.0,,,
11,Auburn,SEC,13,6,0.684,,2,3,0.4,,63.0,57.9,,12.63,7.57,,,,,,
12,Mississippi State,SEC,15,5,0.75,,2,4,0.333,,79.4,61.6,,23.26,5.51,,,,,,
13,Texas A&M,SEC,8,6,0.571,,1,4,0.2,,65.0,65.1,,12.01,12.08,,,,,,
14,Florida,SEC,13,8,0.619,,1,5,0.167,,75.7,63.0,,16.99,4.28,,,,,,
15,Missouri,SEC,13,8,0.619,,1,5,0.167,,74.9,72.1,,12.07,9.31,,,,,,
16,Arkansas,SEC,11,9,0.55,,0,5,0.0,,73.7,72.9,,6.18,5.43,,,,,,
