Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,UCLA,Big Ten,20,1,0.952,,10,0,1.0,,86.8,56.8,,48.33,18.33,,3.0,2.0,,,
2,Iowa,Big Ten,18,3,0.857,,9,1,0.9,,80.4,63.9,,32.87,16.35,,21.0,8.0,,,
3,Michigan,Big Ten,18,3,0.857,,9,1,0.9,,87.5,60.0,,40.85,13.28,,13.0,6.0,,,
4,Michigan State,Big Ten,19,2,0.905,,8,2,0.8,,86.0,60.4,,34.2,8.63,,23.0,13.0,,,
5,Ohio State,Big Ten,19,3,0.864,,8,2,0.8,,84.3,64.3,,29.49,9.49,,,11.0,,,
6,Washington,Big Ten,17,4,0.81,,7,3,0.7,,74.3,58.6,,25.87,10.15,,,20.0,,,
7,Minnesota,Big Ten,15,6,0.714,,6,4,0.6,,74.8,54.8,,31.33,11.28,,,,,,
8,Maryland,Big Ten,17,5,0.773,,5,5,0.5,,84.2,61.0,,31.44,8.21,,10.0,7.0,,,
9,Nebraska,Big Ten,16,5,0.762,,5,5,0.5,,82.6,63.9,,29.36,10.65,,,20.0,,,
10,Illinois,Big Ten,15,6,0.714,,5,5,0.5,,78.4,64.7,,23.57,9.85,,,25.0,,,
11,Wisconsin,Big Ten,13,9,0.591,,5,6,0.455,,69.8,70.1,,11.33,11.65,,,,,,
12,Oregon,Big Ten,16,7,0.696,,4,6,0.4,,77.9,62.3,,27.87,12.31,,,,,,
13,Southern California,Big Ten,12,9,0.571,,4,6,0.4,,69.0,60.3,,30.46,21.7,,18.0,8.0,,,
14,Purdue,Big Ten,11,10,0.524,,3,7,0.3,,70.4,69.8,,13.57,12.95,,,,,,
15,Northwestern,Big Ten,8,13,0.381,,2,8,0.2,,65.5,72.7,,6.13,13.32,,,,,,
16,Rutgers,Big Ten,9,12,0.429,,1,9,0.1,,58.8,66.1,,2.17,9.5,,,,,,
17,Penn State,Big Ten,7,15,0.318,,0,11,0.0,,74.0,82.5,,8.59,17.09,,,,,,
18,Indiana,Big Ten,11,11,0.5,,0,10,0.0,,70.4,69.1,,14.66,13.43,,,,,,
