Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Chattanooga,Southern,16,7,0.696,,8,2,0.8,,63.2,60.3,,-4.91,-7.82,,,,,,
2,Furman,Southern,16,10,0.615,,8,3,0.727,,62.2,65.9,,-8.87,-5.18,,,,,,
3,Wofford,Southern,14,11,0.56,,8,3,0.727,,62.6,63.1,,-6.73,-6.23,,,,,,
4,East Tennessee State,Southern,13,12,0.52,,6,4,0.6,,56.6,60.3,,-8.84,-5.14,,,,,,
5,Mercer,Southern,15,10,0.6,,5,5,0.5,,62.8,62.8,,-10.79,-10.79,,,,,,
6,Samford,Southern,11,16,0.407,,4,6,0.4,,58.2,69.1,,-14.07,-3.15,,,,,,
7,UNC Greensboro,Southern,13,13,0.5,,3,8,0.273,,56.5,59.4,,-11.25,-8.3,,,,,,
8,Western Carolina,Southern,3,22,0.12,,0,11,0.0,,52.8,69.7,,-22.59,-5.64,,,,,,
