Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Loyola Marymount,WCC,21,8,0.724,,15,3,0.833,,70.7,63.8,,5.21,-1.68,,,,,,Reg. Season Champion
2,Gonzaga,WCC,22,9,0.71,,14,4,0.778,,73.9,64.6,,12.7,3.41,,,,,,
3,Santa Clara,WCC,23,8,0.742,,13,5,0.722,,78.6,69.3,,10.29,0.94,,,,,,
4,Oregon State,WCC,21,10,0.677,,13,5,0.722,,66.7,61.5,,9.41,4.2,,,,,,
5,Portland,WCC,17,13,0.567,,11,7,0.611,,67.4,65.7,,3.99,2.31,,,,,,
6,Pepperdine,WCC,19,11,0.633,,10,8,0.556,,70.2,66.0,,4.24,0.03,,,,,,
7,San Francisco,WCC,17,13,0.567,,9,9,0.5,,66.8,68.2,,-0.26,1.15,,,,,,
8,Saint Mary's (CA),WCC,15,17,0.469,,6,12,0.333,,59.1,60.4,,-0.24,1.06,,,,,,
9,Pacific,WCC,11,19,0.367,,6,12,0.333,,63.9,69.4,,-2.67,2.88,,,,,,
10,Washington State,WCC,9,24,0.273,,6,12,0.333,,63.6,73.2,,-3.88,5.76,,,,,,
11,San Diego,WCC,11,22,0.333,,4,14,0.222,,56.4,65.1,,-8.41,0.34,,,,,,
12,Seattle,WCC,5,25,0.167,,1,17,0.056,,58.6,78.0,,-19.89,-0.46,,,,,,
