Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,FDU,NEC,7,3,0.7,,,,,,60.7,57.3,,-2.75,-6.08,,,,,,
2,Long Island University,NEC,4,6,0.4,,,,,,64.6,66.4,,-13.08,-11.19,,,,,,
3,Stonehill,NEC,3,5,0.375,,,,,,55.0,69.7,,-23.18,-8.46,,,,,,
4,Wagner,NEC,3,6,0.333,,,,,,50.3,65.5,,-19.94,-4.69,,,,,,
5,New Haven,NEC,2,7,0.222,,,,,,50.7,65.3,,-22.86,-8.28,,,,,,
6,Le Moyne,NEC,1,8,0.111,,,,,,51.3,78.3,,-26.67,0.33,,,,,,
7,Chicago State,NEC,1,10,0.091,,,,,,58.6,81.5,,-22.64,0.27,,,,,,
8,Central Connecticut State,NEC,0,9,0.0,,,,,,49.4,72.3,,-30.78,-7.89,,,,,,
9,Mercyhurst,NEC,0,10,0.0,,,,,,54.2,82.6,,-25.8,2.6,,,,,,
10,Saint Francis (PA),NEC,0,9,0.0,,,,,,53.4,72.1,,-24.46,-5.71,,,,,,
