Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Murray State,MVC,19,3,0.864,,10,1,0.909,,82.6,76.6,,6.76,0.76,,,,,,
2,Belmont,MVC,12,9,0.571,,8,2,0.8,,69.8,68.9,,7.21,6.31,,,,,,
3,Bradley,MVC,14,8,0.636,,7,4,0.636,,71.1,66.3,,0.61,-4.24,,,,,,
4,Illinois State,MVC,13,9,0.591,,7,4,0.636,,73.1,67.8,,3.45,-1.82,,,,,,
5,Northern Iowa,MVC,11,10,0.524,,7,4,0.636,,65.3,63.3,,4.59,2.64,,,,,,
6,Illinois-Chicago,MVC,10,11,0.476,,5,5,0.5,,64.2,63.6,,-4.22,-4.84,,,,,,
7,Drake,MVC,6,15,0.286,,5,6,0.455,,70.7,77.4,,-4.54,2.18,,,,,,
8,Indiana State,MVC,8,13,0.381,,4,7,0.364,,71.7,80.7,,-14.69,-5.69,,,,,,
9,Southern Illinois,MVC,6,13,0.316,,3,7,0.3,,66.1,74.7,,-11.89,-3.25,,,,,,
10,Evansville,MVC,5,17,0.227,,3,8,0.273,,65.5,75.2,,-12.9,-3.17,,,,,,
11,Valparaiso,MVC,0,22,0.0,,0,11,0.0,,54.1,79.7,,-29.81,-4.22,,,,,,
