Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Idaho,Big Sky,28,5,0.848,,17,1,0.944,,76.7,65.5,,6.32,-4.84,,,,,,
2,Montana State,Big Sky,25,6,0.806,,16,2,0.889,,74.3,62.8,,10.78,-0.77,,,,,,Reg. Season Champion
3,Northern Colorado,Big Sky,22,10,0.688,,13,5,0.722,,65.1,61.3,,0.25,-3.51,,,,,,
4,Idaho State,Big Sky,19,11,0.633,,12,6,0.667,,64.5,61.1,,0.58,-2.8,,,,,,
5,Sacramento State,Big Sky,15,18,0.455,,8,10,0.444,,60.1,62.0,,-4.37,-2.47,,,,,,
6,Eastern Washington,Big Sky,15,18,0.455,,7,11,0.389,,68.0,70.3,,-4.31,-2.06,,,,,,
7,Northern Arizona,Big Sky,10,22,0.313,,6,12,0.333,,67.5,75.7,,-8.93,-0.79,,,,,,
8,Montana,Big Sky,9,22,0.29,,5,13,0.278,,61.4,72.4,,-9.77,1.16,,,,,,
9,Weber State,Big Sky,11,22,0.333,,4,14,0.222,,62.2,69.8,,-8.06,-0.46,,,,,,
10,Portland State,Big Sky,6,25,0.194,,2,16,0.111,,62.9,75.5,,-14.99,-2.39,,,,,,
