Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Chattanooga,Southern,18,7,0.72,,10,2,0.833,,62.4,59.0,,-5.1,-8.54,,,,,,
2,Wofford,Southern,16,11,0.593,,10,3,0.769,,62.6,62.1,,-6.13,-6.59,,,,,,
3,East Tennessee State,Southern,15,12,0.556,,8,4,0.667,,56.6,59.1,,-8.67,-6.19,,,,,,
4,Furman,Southern,16,12,0.571,,8,5,0.615,,62.1,66.6,,-9.99,-5.53,,,,,,
5,Mercer,Southern,16,11,0.593,,6,6,0.5,,63.3,63.2,,-10.2,-10.32,,,,,,
6,Samford,Southern,12,17,0.414,,5,7,0.417,,58.0,68.1,,-13.55,-3.52,,,,,,
7,UNC Greensboro,Southern,13,15,0.464,,3,10,0.231,,55.6,59.0,,-11.45,-8.12,,,,,,
8,Western Carolina,Southern,3,24,0.111,,0,13,0.0,,52.0,68.6,,-22.21,-5.59,,,,,,
