Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Princeton,Ivy,23,3,0.885,,11,2,0.846,,73.0,60.8,,16.41,4.26,,,19.0,,,
2,Columbia,Ivy,20,6,0.769,,11,2,0.846,,71.4,59.1,,13.52,1.21,,,,,,
3,Harvard,Ivy,16,10,0.615,,9,4,0.692,,65.6,56.6,,10.89,1.89,,,,,,
4,Brown,Ivy,16,9,0.64,,8,5,0.615,,61.4,57.3,,0.67,-3.42,,,,,,
5,Pennsylvania,Ivy,16,10,0.615,,6,7,0.462,,62.2,59.7,,2.01,-0.49,,,,,,
6,Cornell,Ivy,8,18,0.308,,3,10,0.231,,51.4,63.5,,-14.63,-2.51,,,,,,
7,Yale,Ivy,7,19,0.269,,3,10,0.231,,58.1,67.3,,-12.05,-2.9,,,,,,
8,Dartmouth,Ivy,10,16,0.385,,1,12,0.077,,51.7,66.3,,-17.36,-2.75,,,,,,
