Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Belmont,MVC,9,7,0.563,,5,0,1.0,,68.9,68.0,,8.88,8.0,,,,,,
2,Murray State,MVC,13,2,0.867,,4,0,1.0,,83.1,78.3,,7.17,2.38,,,,,,
3,Northern Iowa,MVC,8,7,0.533,,4,1,0.8,,64.1,61.5,,5.68,3.08,,,,,,
4,Drake,MVC,4,10,0.286,,3,1,0.75,,69.1,77.3,,-3.97,4.17,,,,,,
5,Bradley,MVC,9,6,0.6,,2,2,0.5,,70.2,67.3,,-1.02,-3.94,,,,,,
6,Evansville,MVC,4,11,0.267,,2,2,0.5,,63.5,74.1,,-14.64,-4.11,,,,,,
7,Illinois State,MVC,8,8,0.5,,2,3,0.4,,72.9,68.3,,4.73,0.1,,,,,,
8,Illinois-Chicago,MVC,7,9,0.438,,2,3,0.4,,63.1,64.4,,-5.46,-4.15,,,,,,
9,Indiana State,MVC,5,9,0.357,,1,3,0.25,,69.8,82.3,,-17.6,-5.14,,,,,,
10,Southern Illinois,MVC,3,11,0.214,,0,5,0.0,,60.7,76.1,,-17.8,-2.39,,,,,,
11,Valparaiso,MVC,0,16,0.0,,0,5,0.0,,52.6,79.1,,-31.26,-4.82,,,,,,
