Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Rhode Island,A-10,13,2,0.867,,4,0,1.0,,67.6,55.5,,13.0,0.93,,,,,,
2,Davidson,A-10,12,5,0.706,,4,0,1.0,,68.8,57.2,,14.84,3.26,,,,,,
3,George Mason,A-10,9,6,0.6,,4,0,1.0,,71.1,63.8,,10.89,3.55,,,,,,
4,Richmond,A-10,13,4,0.765,,3,1,0.75,,72.6,62.0,,14.7,4.05,,24.0,24.0,,,
5,La Salle,A-10,10,5,0.667,,3,1,0.75,,63.4,64.6,,-2.97,-1.76,,,,,,
6,Saint Joseph's,A-10,11,4,0.733,,2,2,0.5,,67.0,58.1,,10.93,2.0,,,,,,
7,St. Bonaventure,A-10,11,5,0.688,,2,2,0.5,,63.9,60.9,,-8.86,-11.86,,,,,,
8,Saint Louis,A-10,8,9,0.471,,2,2,0.5,,66.8,69.3,,-2.27,0.17,,,,,,
9,Dayton,A-10,8,7,0.533,,1,3,0.25,,65.7,67.1,,-4.82,-3.42,,,,,,
10,George Washington,A-10,9,8,0.529,,1,3,0.25,,63.4,62.9,,-1.41,-1.91,,,,,,
11,Loyola (IL),A-10,5,10,0.333,,1,3,0.25,,53.8,63.3,,-6.49,2.98,,,,,,
12,Virginia Commonwealth,A-10,5,11,0.313,,1,3,0.25,,59.0,67.9,,-3.76,5.18,,,,,,
13,Fordham,A-10,8,7,0.533,,0,4,0.0,,67.7,65.8,,-6.9,-8.82,,,,,,
14,Duquesne,A-10,7,8,0.467,,0,4,0.0,,63.2,63.7,,-6.49,-5.95,,,,,,
