Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,10,6,0.625,,,,,,64.3,63.2,,0.88,-0.25,,,,,,
2,Maryland-Eastern Shore,MEAC,7,10,0.412,,,,,,59.7,70.9,,-9.16,2.04,,,,,,
3,Norfolk State,MEAC,5,10,0.333,,,,,,49.3,70.3,,-13.36,7.64,,,,,,
4,North Carolina Central,MEAC,3,10,0.231,,,,,,56.7,78.4,,-18.13,3.62,,,,,,
5,Delaware State,MEAC,3,12,0.2,,,,,,47.5,70.8,,-24.39,-1.06,,,,,,
6,South Carolina State,MEAC,3,12,0.2,,,,,,50.5,73.7,,-30.0,-6.84,,,,,,
7,Coppin State,MEAC,2,13,0.133,,,,,,51.9,73.7,,-12.16,9.62,,,,,,
8,Morgan State,MEAC,1,15,0.063,,,,,,47.8,78.3,,-23.85,6.65,,,,,,
