Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Navy,Patriot,21,7,0.75,,15,2,0.882,,69.3,60.0,,1.55,-7.78,,,,,,Reg. Season Champion
2,Army,Patriot,23,6,0.793,,14,4,0.778,,64.2,54.9,,0.31,-9.05,,,,,,
3,Holy Cross,Patriot,20,9,0.69,,14,4,0.778,,60.4,57.1,,-2.7,-5.98,,,,,,
4,Lehigh,Patriot,15,13,0.536,,11,6,0.647,,65.7,65.1,,-5.68,-6.22,,,,,,
5,Loyola (MD),Patriot,12,17,0.414,,8,10,0.444,,55.1,60.1,,-11.6,-6.6,,,,,,
6,Bucknell,Patriot,11,18,0.379,,7,11,0.389,,51.2,58.0,,-13.95,-7.13,,,,,,
7,Lafayette,Patriot,11,18,0.379,,7,11,0.389,,59.0,62.8,,-13.69,-9.82,,,,,,
8,Boston University,Patriot,10,19,0.345,,6,12,0.333,,56.7,62.2,,-13.21,-7.71,,,,,,
9,American,Patriot,7,22,0.241,,5,13,0.278,,55.6,66.2,,-17.88,-7.29,,,,,,
10,Colgate,Patriot,6,23,0.207,,2,16,0.111,,53.0,65.0,,-18.02,-6.05,,,,,,
