Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Connecticut,Big East,31,0,1.0,,20,0,1.0,,88.5,50.7,,51.38,13.57,,1.0,1.0,,,Reg. Season Champion
2,Villanova,Big East,23,6,0.793,,16,4,0.8,,72.9,60.7,,22.12,9.98,,,,,,
3,Marquette,Big East,18,11,0.621,,12,8,0.6,,67.9,64.0,,13.25,9.36,,,,,,
4,Seton Hall,Big East,18,11,0.621,,12,8,0.6,,68.7,64.2,,13.73,9.28,,,,,,
5,St. John's (NY),Big East,22,10,0.688,,11,9,0.55,,62.5,60.8,,7.53,5.78,,,,,,
6,Creighton,Big East,15,14,0.517,,11,9,0.55,,68.4,68.6,,9.7,9.8,,,,,,
7,Providence,Big East,15,17,0.469,,7,13,0.35,,59.8,63.6,,2.96,6.74,,,,,,
8,Georgetown,Big East,14,16,0.467,,6,14,0.3,,63.4,61.8,,9.32,7.65,,,,,,
9,Butler,Big East,12,19,0.387,,6,14,0.3,,62.2,65.0,,5.56,8.36,,,,,,
10,DePaul,Big East,8,24,0.25,,5,15,0.25,,63.0,72.3,,-1.11,8.17,,,,,,
11,Xavier,Big East,11,19,0.367,,4,16,0.2,,58.4,66.6,,-1.31,6.9,,,,,,
