Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,23,7,0.767,,13,1,0.929,,67.2,61.3,,-1.99,-7.89,,,,,,Reg. Season Champion
2,Maryland-Eastern Shore,MEAC,18,13,0.581,,11,3,0.786,,60.9,63.7,,-9.34,-6.55,,,,,,
3,Norfolk State,MEAC,16,13,0.552,,11,3,0.786,,60.6,60.7,,-5.77,-5.73,,,,,,
4,Coppin State,MEAC,9,22,0.29,,6,8,0.429,,56.8,68.9,,-13.78,-1.64,,,,,,
5,North Carolina Central,MEAC,9,19,0.321,,5,9,0.357,,59.3,70.2,,-17.52,-6.6,,,,,,
6,Delaware State,MEAC,7,22,0.241,,4,10,0.286,,53.3,66.3,,-21.58,-8.58,,,,,,
7,Morgan State,MEAC,5,25,0.167,,3,10,0.231,,53.8,72.4,,-22.63,-4.03,,,,,,
8,South Carolina State,MEAC,5,24,0.172,,2,11,0.154,,50.5,72.6,,-31.46,-9.34,,,,,,
