Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Tulsa,American,6,2,0.75,,,,,,76.6,63.3,,0.8,-12.57,,,,,,
2,Rice,American,6,3,0.667,,,,,,66.6,60.9,,6.92,1.25,,,,,,
3,Florida Atlantic,American,5,3,0.625,,,,,,59.9,65.1,,-4.76,0.52,,,,,,
4,North Texas,American,5,3,0.625,,,,,,61.2,61.5,,4.89,5.23,,,,,,
5,South Florida,American,6,4,0.6,,,,,,71.1,68.6,,15.33,12.83,,,,,,
6,Temple,American,4,4,0.5,,,,,,70.6,73.4,,10.14,12.89,,,,,,
7,UAB,American,4,4,0.5,,,,,,75.0,73.1,,2.01,0.15,,,,,,
8,Charlotte,American,4,5,0.444,,,,,,62.1,69.6,,1.14,8.58,,,,,,
9,East Carolina,American,4,5,0.444,,,,,,70.3,69.8,,-1.77,-2.32,,,,,,
10,Memphis,American,4,5,0.444,,,,,,65.6,70.1,,-3.88,0.67,,,,,,
11,UTSA,American,3,4,0.429,,,,,,54.9,59.7,,0.76,5.61,,,,,,
12,Tulane,American,3,5,0.375,,,,,,71.1,75.1,,3.38,7.38,,,,,,
13,Wichita State,American,1,9,0.1,,,,,,55.0,67.0,,-14.99,-2.99,,,,,,
