Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Lehigh,Patriot,8,7,0.533,,4,0,1.0,,66.3,68.3,,-3.8,-1.87,,,,,,
2,Army,Patriot,12,3,0.8,,3,1,0.75,,67.8,58.7,,0.89,-8.18,,,,,,
3,Holy Cross,Patriot,9,6,0.6,,3,1,0.75,,59.6,60.4,,-2.75,-1.95,,,,,,
4,Navy,Patriot,9,6,0.6,,3,1,0.75,,70.4,65.4,,-0.94,-5.87,,,,,,
5,Lafayette,Patriot,6,9,0.4,,2,2,0.5,,62.5,66.1,,-15.43,-11.83,,,,,,
6,Loyola (MD),Patriot,6,9,0.4,,2,2,0.5,,56.1,62.7,,-12.16,-5.56,,,,,,
7,American,Patriot,4,11,0.267,,2,2,0.5,,55.3,65.0,,-17.22,-7.55,,,,,,
8,Colgate,Patriot,5,10,0.333,,1,3,0.25,,54.8,69.5,,-18.54,-3.82,,,,,,
9,Boston University,Patriot,4,11,0.267,,0,4,0.0,,53.7,62.6,,-14.47,-5.61,,,,,,
10,Bucknell,Patriot,4,11,0.267,,0,4,0.0,,51.3,61.8,,-14.9,-4.4,,,,,,
