Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Alcorn State,SWAC,3,5,0.375,,,,,,47.6,81.0,,-19.05,14.35,,,,,,
2,Arkansas-Pine Bluff,SWAC,3,5,0.375,,,,,,50.3,73.7,,-22.65,0.78,,,,,,
3,Southern,SWAC,3,5,0.375,,,,,,51.9,76.9,,-1.83,23.17,,,,,,
4,Texas Southern,SWAC,3,5,0.375,,,,,,53.0,96.4,,-22.05,21.35,,,,,,
5,Alabama A&M,SWAC,3,6,0.333,,,,,,47.2,71.5,,-14.49,9.85,,,,,,
6,Alabama State,SWAC,2,6,0.25,,,,,,44.0,80.2,,-20.92,15.28,,,,,,
7,Jackson State,SWAC,2,6,0.25,,,,,,61.1,75.6,,-15.13,-0.7,,,,,,
8,Prairie View,SWAC,2,6,0.25,,,,,,52.8,89.8,,-26.15,10.85,,,,,,
9,Bethune-Cookman,SWAC,2,7,0.222,,,,,,47.8,78.5,,-22.39,8.28,,,,,,
10,Mississippi Valley State,SWAC,1,7,0.125,,,,,,53.8,94.1,,-36.98,3.39,,,,,,
11,Grambling,SWAC,1,8,0.111,,,,,,52.9,79.5,,-23.12,3.51,,,,,,
12,Florida A&M,SWAC,0,8,0.0,,,,,,53.0,82.8,,-29.32,0.43,,,,,,
