Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Howard,MEAC,8,5,0.615,,,,,,63.9,63.0,,0.9,-0.02,,,,,,
2,Maryland-Eastern Shore,MEAC,6,7,0.462,,,,,,57.9,67.8,,-7.01,2.82,,,,,,
3,Norfolk State,MEAC,5,8,0.385,,,,,,50.7,70.7,,-12.97,7.03,,,,,,
4,Delaware State,MEAC,3,9,0.25,,,,,,46.4,71.1,,-23.84,0.83,,,,,,
5,South Carolina State,MEAC,3,10,0.231,,,,,,53.1,72.0,,-26.67,-7.76,,,,,,
6,Coppin State,MEAC,2,10,0.167,,,,,,53.1,75.3,,-12.88,9.3,,,,,,
7,North Carolina Central,MEAC,1,9,0.1,,,,,,56.5,76.4,,-17.5,2.4,,,,,,
8,Morgan State,MEAC,1,11,0.083,,,,,,48.3,79.9,,-26.06,5.54,,,,,,
