Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Princeton,Ivy,12,1,0.923,,,,,,75.9,66.8,,19.07,9.99,,,25.0,,,
2,Dartmouth,Ivy,8,3,0.727,,,,,,53.9,56.6,,-14.6,-11.94,,,,,,
3,Pennsylvania,Ivy,8,3,0.727,,,,,,60.7,58.0,,2.33,-0.34,,,,,,
4,Columbia,Ivy,8,4,0.667,,,,,,73.3,65.5,,13.11,5.36,,,,,,
5,Brown,Ivy,7,4,0.636,,,,,,62.1,56.5,,-1.9,-7.44,,,,,,
6,Harvard,Ivy,6,6,0.5,,,,,,64.1,60.8,,10.48,7.14,,,,,,
7,Cornell,Ivy,4,7,0.364,,,,,,51.5,59.5,,-20.83,-12.92,,,,,,
8,Yale,Ivy,4,9,0.308,,,,,,60.1,67.2,,-14.11,-7.03,,,,,,
