Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
1,Abilene Christian,WAC,14,5,0.737,,5,1,0.833,,68.6,59.3,,6.05,-3.26,,,,,,
2,California Baptist,WAC,11,8,0.579,,5,1,0.833,,70.8,66.0,,1.82,-2.97,,,,,,
3,Southern Utah,WAC,11,7,0.611,,3,3,0.5,,69.1,69.9,,-5.59,-4.73,,,,,,
4,Tarleton State,WAC,9,8,0.529,,3,3,0.5,,63.9,67.1,,-5.43,-2.29,,,,,,
5,Utah Valley,WAC,9,8,0.529,,2,4,0.333,,60.1,62.1,,-4.56,-2.5,,,,,,
6,UT Arlington,WAC,8,10,0.444,,2,4,0.333,,60.4,64.8,,-3.67,0.72,,,,,,
7,Utah Tech,WAC,6,10,0.375,,1,5,0.167,,62.7,67.9,,-10.69,-5.49,,,,,,
